,ENDO,GBM,BRCA,HNSCC,LUAD,OVARIAN,CCRCC
975,MIR6738,FXYD7,OR2G6,AC100782.1,IQCE,,PCDHGA2
976,MIR6739,FZD1,OR2L13,AC100784.1,IQGAP3,,PCDHGA3
977,MIR6740,FZD9,OR2L2,AC100801.1,IRAK1,,PCDHGA4
978,MIR6741,FZR1,OR2L3,AC100801.2,IRF2BP2,,PCDHGA5
979,MIR6742,GADD45B,OR2L5,AC100803.1,IRF6,,PCDHGA6
980,MIR6769B,GADD45GIP1,OR2L8,AC100803.2,IRS4,,PCDHGA7
981,MIR6813,GAL3ST4,OR2M2,AC100803.3,IRX1,,PCDHGA8
982,MIR6844,GALNT11,OR2M3,AC100807.1,IRX2,,PCDHGA9
983,MIR6878,GALNT17,OR2M4,AC100812.1,IRX4,,PCDHGB1
984,MIR765,GALNTL5,OR2M5,AC100814.1,ISG20L2,,PCDHGB2
985,MIR7705,GALP,OR2M7,AC100822.1,ISPD,,PCDHGB3
986,MIR7848,GAMT,OR2T1,AC100823.1,ITGA10,,PCDHGB4
987,MIR8083,GAPDHS,OR2T10,AC100823.2,ITGB8,,PCDHGB5
988,MIR8084,GARS,OR2T11,AC100854.1,ITLN1,,PCDHGB6
989,MIR875,GATA5,OR2T12,AC100858.1,ITLN2,,PCDHGB7
990,MIR9-1,GATAD1,OR2T2,AC100858.2,ITPKB,,PCDHGC3
991,MIR921,GATAD2A,OR2T27,AC100858.3,IVL,,PCDHGC4
992,MIR92B,GBX1,OR2T29,AC100858.4,IVNS1ABP,,PCDHGC5
993,MIR941-1,GCC1,OR2T3,AC100860.1,JAZF1,,PCLO
994,MIR941-2,GCDH,OR2T33,AC100868.1,JKAMP,,PCOLCE
995,MIR941-3,GCK,OR2T34,AC100870.1,JMJD4,,PCSK1
996,MIR941-4,GCNT7,OR2T35,AC100871.1,JPH1,,PCYOX1L
997,MIR941-5,GDAP1L1,OR2T4,AC100871.2,JRK,,PDAP1
998,MIXL1,GDF1,OR2T5,AC100872.1,JTB,,PDE1C
999,MLLT11,GDF15,OR2T6,AC103409.1,KBTBD2,,PDE4D
1000,MNDA,GDF5,OR2T7,AC103705.1,KCNB2,,PDE6A
1001,MPC2,GEMIN7,OR2T8,AC103706.1,KCNE5,,PDE8B
1002,MPZ,GET4,OR2W3,AC103706.2,KCNH1,,PDGFA
1003,MPZL1,GFRA4,OR2W5,AC103706.3,KCNIP1,,PDGFRB
1004,MR1,GFY,OR6F1,AC103718.1,KCNJ10,,PDIA4
1005,MROH3P,GGCT,OR6K2,AC103726.1,KCNJ9,,PDK4
1006,MROH9,GGN,OR6K3,AC103726.2,KCNK1,,PDLIM4
1007,MRPL13,GGT7,OR6K6,AC103758.1,KCNK2,,PDLIM7
1008,MRPL24,GGTLC1,OR6N1,AC103760.1,KCNK9,,PEG10
1009,MRPL33,GHRH,OR6N2,AC103764.1,KCNMB1,,PELO
1010,MRPL55,GHRHR,OR6P1,AC103770.1,KCNN3,,PEX1
1011,MRPL9,GID8,OR6Y1,AC103833.1,KCNQ2,,PFDN1
1012,MRPS14,GIGYF1,OSGIN2,AC103833.2,KCNQ3,,PFN3
1013,MRPS21,GIMAP1,OSR2,AC103853.1,KCNS2,,PGAM2
1014,MRPS28,GIMAP1-GIMAP5,OTUD6B,AC103853.2,KCNT2,,PGGT1B
1015,MSC,GIMAP2,OTUD7B,AC103952.1,KCNV1,,PHAX
1016,MSC-AS1,GIMAP4,OXR1,AC103955.1,KCTD3,,PHF14
1017,MSTO1,GIMAP5,PABPC1,AC103993.1,KDELR2,,PHKG1
1018,MSTO2P,GIMAP6,PAG1,AC104012.1,KDM5B,,PHTF2
1019,MT1HL1,GIMAP7,PAPPA2,AC104119.1,KHDRBS3,,PHYKPL
1020,MTBP,GIMAP8,PAQR6,AC104211.1,KIAA0040,,PIK3CG
1021,MTDH,GINS1,PARP1,AC104211.2,KIAA0586,,PIK3R1
1022,MTERF3,GIPC1,PARP10,AC104211.3,KIAA0895,,PILRA
1023,MTG2,GIPC3,PBX1,AC104211.4,KIAA0907,,PILRB
1024,MTMR11,GIPR,PBXIP1,AC104212.1,KIAA1210,,PIP
1025,MTR,GJC3,PCAT1,AC104212.2,KIAA1429,,PITX1
1026,MTSS1,GLCCI1,PCAT2,AC104232.1,KIAA1614,,PJA2
1027,MUC1,GLI3,PCAT6,AC104232.2,KIF14,,PKD1L1
1028,MYBPH,GMEB2,PCK1,AC104232.3,KIF21B,,PKD2L2
1029,MYC,GMFG,PCMTD1,AC104233.1,KIF26B,,PLAC8L1
1030,MYOC,GMIP,PCNXL2,AC104248.1,KIFAP3,,PLEKHA8
1031,MYOG,GNA11,PCP4L1,AC104257.1,KIFC2,,PLK2
1032,NACA4P,GNA12,PDC,AC104316.1,KIRREL,,PLOD3
1033,NAV1,GNA15,PDE4DIP,AC104316.2,KISS1,,PLPP1
1034,NAXE,GNAI1,PDE7A,AC104339.1,KLF10,,PLXNA4
1035,NBPF10,GNAS,PDP1,AC104370.1,KLHDC1,,PMPCB
1036,NBPF11,GNAT3,PDZK1,AC104411.1,KLHDC2,,PMS2
1037,NBPF12,GNB2,PDZK1P1,AC104417.1,KLHDC8A,,PNPLA8
1038,NBPF13P,GNG11,PEA15,AC104417.2,KLHDC9,,POC5
1039,NBPF14,GNG14,PEAR1,AC104472.1,KLHL12,,PODXL
1040,NBPF15,GNG7,PENK,AC104472.2,KLHL13,,POLD2
1041,NBPF18P,GNG8,PEX11B,AC104472.3,KLHL20,,POLK
1042,NBPF19,GNGT1,PEX19,AC104472.4,KLHL28,,POLM
1043,NBPF20,GNRH2,PEX2,AC104472.5,KLHL38,,POLR2J
1044,NBPF25P,GP6,PFDN2,AC104576.1,KLHL7,,POLR2J2
1045,NBPF9,GPATCH1,PFDN4,AC104629.1,KMO,,POLR2J3
1046,NCALD,GPC2,PFKFB2,AC104640.1,KPRP,,POLR3G
1047,NCEH1,GPCPD1,PGBD2,AC104640.2,KRTCAP2,,POM121
1048,NCF2,GPER1,PGBD5,AC104831.1,KTN1,,POM121C
1049,NCRNA00250,GPI,PGLYRP3,AC104852.1,L1CAM,,POM121L12
1050,NCSTN,GPNMB,PGLYRP4,AC104958.1,L2HGDH,,POMZP3
1051,NDRG1,GPR108,PHACTR3,AC104958.2,L3HYPDH,,PON1
1052,NDUFAF6,GPR141,PHF20L1,AC104966.1,LACTB2,,PON2
1053,NDUFB9,GPR146,PHLDA3,AC104986.1,LAD1,,PON3
1054,NDUFS2,GPR22,PI15,AC104986.2,LAGE3,,POP7
1055,NECTIN4,GPR32,PI4KB,AC104989.1,LAMA5,,POR
1056,NEK2,GPR37,PIAS3,AC105031.1,LAMB3,,POT1
1057,NEK7,GPR4,PIGC,AC105031.2,LAMC1,,POU4F3
1058,NENF,GPR42,PIGM,AC105052.1,LAMC2,,POU5F2
1059,NES,GPR85,PIGR,AC105052.2,LAMP2,,POU6F2
1060,NEUROD2,GPX4,PIK3C2B,AC105052.3,LAMTOR2,,PPARGC1B
1061,NFASC,GRAMD1A,PIP5K1A,AC105052.4,LANCL2,,PPIA
1062,NHLH1,GRB10,PKHD1L1,AC105052.5,LAPTM4B,,PPIC
1063,NID1,GRID2IP,PKIA,AC105081.1,LAX1,,PPIP5K2
1064,NIPAL2,GRIFIN,PKLR,AC105118.1,LBR,,PPP1R17
1065,NIT1,GRIK5,PKP1,AC105177.1,LCE1A,,PPP1R2P3
1066,NKAIN4,GRIN2D,PLA2G4A,AC105180.1,LCE1B,,PPP1R35
1067,NLGN4Y,GRIN3B,PLAG1,AC105180.2,LCE1C,,PPP1R3A
1068,NLGN4Y-AS1,GRM3,PLCG1,AC105213.1,LCE1D,,PPP1R9A
1069,NLRP3,GRM8,PLD5,AC105219.1,LCE1E,,PPP2CA
1070,NME7,GRWD1,PLEC,AC105219.2,LCE1F,,PPP2R2B
1071,NMNAT2,GSAP,PLEKHA6,AC105219.3,LCE2A,,PPWD1
1072,NOS1AP,GSDME,PLEKHF2,AC105219.4,LCE2B,,PRDM6
1073,NOTCH2NLA,GSK3A,PLEKHO1,AC105235.1,LCE2C,,PRELID1
1074,NOTCH2NLB,GSS,PLXNA2,AC105328.1,LCE2D,,PRELID2
1075,NOTCH2NLC,GSTK1,PM20D1,AC105446.1,LCE3A,,PRKAG2
1076,NOV,GSX2,PMEPA1,AC106038.1,LCE3B,,PRKAR1B
1077,NPHS2,GTF2F1,PMF1,AC106038.2,LCE3C,,PRKAR2B
1078,NPL,GTF2I,PMP2,AC106706.1,LCE3D,,PRKRIP1
1079,NPR1,GTF2IRD1,PMVK,AC106706.2,LCE3E,,PROB1
1080,NR1I3,GTF2IRD2,POGK,AC106707.1,LCE4A,,PROP1
1081,NR5A2,GTF2IRD2B,POGZ,AC106707.2,LCE5A,,PRPS1L1
1082,NSL1,GTPBP10,POLR2K,AC106744.1,LCE6A,,PRR15
1083,NSMCE2,GTPBP3,POLR3C,AC106744.2,LCP2,,PRR16
1084,NTPCR,GTSF1L,POLR3GL,AC106754.1,LDOC1,,PRR7
1085,NTRK1,GUSB,POP1,AC106754.2,LEFTY1,,PRRC1
1086,NUAK2,GYS1,POTEA,AC106760.1,LEFTY2,,PRRT4
1087,NUCKS1,GZF1,POU2F1,AC106760.2,LELP1,,PRSS1
1088,NUDCD1,GZMM,POU5F1B,AC106771.1,LEMD1,,PRSS2
1089,NUDT17,H2AFV,PPFIA4,AC106772.1,LENEP,,PRSS37
1090,NUDT4B,HAMP,PPIAL4A,AC106772.2,LFNG,,PRSS58
1091,NUDT4P2,HAO1,PPIAL4B,AC106774.1,LGALS3,,PSD2
1092,NUF2,HAPLN4,PPIAL4C,AC106774.2,LGALS8,,PSMA2
1093,NUP133,HAS1,PPIAL4D,AC106774.3,LGR6,,PSMC2
1094,NUP210L,HAUS5,PPIAL4G,AC106774.4,LHFPL1,,PSMG3
1095,NVL,HAUS8,PPOX,AC106794.1,LHX4,,PSPH
1096,OAZ3,HBP1,PPP1R12B,AC106794.2,LHX9,,PTCD1
1097,OBSCN,HCK,PPP1R15B,AC106799.1,LIFR,,PTCD2
1098,OBSCN-AS1,HCN2,PPP1R16A,AC106799.2,LIME1,,PTN
1099,OC90,HCST,PPP1R3D,AC106799.3,LIN9,,PTPN12
1100,OCLM,HDAC9,PPP1R42,AC106800.1,LINC00176,,PTPRN2
1101,ODF1,HDGFL2,PPP2R5A,AC106800.2,LINC00633,,PTPRZ1
1102,ODR4,HECW1,PPP4R1L,AC106800.3,LINC00890,,PTTG1
1103,OLFML2B,HELZ2,PRCC,AC106800.4,LINGO4,,PURA
1104,OPN3,HEPACAM2,PRDM14,AC106821.1,LIX1L,,PURB
1105,OPTC,HERPUD2,PRDX6,AC106821.2,LKAAEAR1,,PUS7
1106,OR10J1,HGF,PRELP,AC107021.1,LL0XNC01-16G2.1,,PVRIG
1107,OR10J3,HIBADH,PREX2,AC107021.2,LMAN2,,PWWP2A
1108,OR10J4,HIF3A,PRG4,AC107027.1,LMBRD2,,RAB19
1109,OR10J5,HILPDA,PRKAB2,AC107027.2,LMNA,,RAB24
1110,OR10K1,HIP1,PRKDC,AC107027.3,LMOD1,,RAB3C
1111,OR10K2,HIPK2,PROX1,AC107294.1,LMX1A,,RABGEF1
1112,OR10R2,HIPK4,PRPF3,AC107294.2,LONRF3,,RAC1
1113,OR10T2,HKR1,PRR9,AC107294.3,LOR,,RACK1
1114,OR10X1,HM13,PRRC2C,AC107375.1,LPCAT1,,RAD17
1115,OR10Z1,HMG20B,PRRX1,AC107421.1,LPGAT1,,RAD50
1116,OR11L1,HNF4A,PRSS38,AC107890.1,LRCH2,,RADIL
1117,OR13G1,HNRNPA2B1,PRUNE,AC107909.1,LRFN5,,RALA
1118,OR14A16,HNRNPL,PSCA,AC107909.2,LRP12,,RAMP3
1119,OR14A2,HNRNPM,PSEN2,AC107953.1,LRR1,,RANBP17
1120,OR14C36,HNRNPUL1,PSKH2,AC107953.2,LRRC14,,RAPGEF5
1121,OR14I1,HOMER3,PSMB4,AC108002.1,LRRC14B,,RAPGEF6
1122,OR14K1,HOOK2,PSMD4,AC108002.2,LRRC24,,RARRES2
1123,OR1C1,HOXA1,PTDSS1,AC108082.1,LRRC52,,RARS
1124,OR2AJ1,HOXA10,PTGS2,AC108099.1,LRRC6,,RASA1
1125,OR2AK2,HOXA11,PTK2,AC108103.1,LRRC69,,RASA4
1126,OR2B11,HOXA13,PTP4A3,AC108105.1,LRRC71,,RASA4B
1127,OR2C3,HOXA2,PTPN14,AC108136.1,LRRC72,,RASGEF1C
1128,OR2G2,HOXA3,PTPN7,AC108667.1,LRRC9,,RASGRF2
1129,OR2G3,HOXA4,PTPRC,AC108667.2,LRRCC1,,RBAK
1130,OR2G6,HOXA5,PTPRT,AC108676.1,LRRN2,,RBM22
1131,OR2L13,HOXA6,PTPRVP,AC108676.2,LSM14B,,RBM27
1132,OR2L1P,HOXA7,PUF60,AC108681.1,LSM5,,RBM28
1133,OR2L2,HOXA9,PVRL4,AC108718.1,LUZP4,,RBM33
1134,OR2L3,HPN,PVT1,AC108727.1,LY6D,,RBM48
1135,OR2L5,HRC,PXDNL,AC108727.2,LY6E,,RCC1L
1136,OR2L8,HRH3,PYCR2,AC108729.1,LY6H,,REEP2
1137,OR2M1P,HSD11B1L,PYCRL,AC108729.2,LY6K,,REEP5
1138,OR2M2,HSD17B14,PYGO2,AC108729.3,LY6L,,RELL2
1139,OR2M3,HSFY1,PYHIN1,AC108734.1,LY9,,RELN
1140,OR2M4,HSFY2,QSOX1,AC108734.2,LY96,,REPIN1
1141,OR2M5,HSH2D,RAB13,AC108734.3,LYN,,RFC2
1142,OR2M7,HSPA12B,RAB22A,AC108734.4,LYNX1,,RFESD
1143,OR2T10,HSPB1,RAB25,AC108738.1,LYPD2,,RGMB
1144,OR2T11,HSPB6,RAB2A,AC108747.1,LYPD8,,RGS14
1145,OR2T12,HSPBP1,RAB3GAP2,AC108751.1,LYPLA1,,RGS7BP
1146,OR2T27,HTR5A,RAB4A,AC108751.2,LYPLAL1,,RHBDD2
1147,OR2T29,HUS1,RAB7L1,AC108751.3,LYSMD1,,RHEB
1148,OR2T33,HYAL4,RABGAP1L,AC108751.4,LYST,,RHOBTB3
1149,OR2T34,ICA1,RABIF,AC108751.5,MACC1,,RINT1
1150,OR2T35,ICAM1,RAD21,AC108860.1,MAD1L1,,RIOK2
1151,OR2T8,ICAM3,RAD54B,AC108860.2,MAEL,,RMND5B
1152,OR2W3,ICAM4,RAE1,AC108925.1,MAF1,,RNF130
1153,OR2W5,ICAM5,RALGPS2,AC109131.1,MAFA,,RNF133
1154,OR6F1,ID1,RALYL,AC109322.1,MAFK,,RNF14
1155,OR6K2,IDH3B,RASAL2,AC109322.2,MAGEA1,,RNF145
1156,OR6K3,IER2,RASSF5,AC109445.1,MAGEA10,,RNF148
1157,OR6K6,IFI30,RB1CC1,AC109472.1,MAGEA11,,RNF180
1158,OR6N1,IFNL1,RBBP5,AC109780.1,MAGEA12,,RNF216
1159,OR6N2,IFNL2,RBM12B,AC109780.2,MAGEA2,,RNF32
1160,OR6P1,IFNL3,RBM34,AC109992.1,MAGEA2B,,RNF44
1161,OR6Y1,IFRD1,RBM38,AC109992.2,MAGEA3,,RP11-119J18.1
1162,OSBPL2,IFT22,RBM8A,AC110053.1,MAGEA4,,RP11-286H14.4
1163,OSR2,IFT52,RC3H1,AC110716.1,MAGEA6,,RP11-298A10.1
1164,OTUD7B,IGF2BP3,RCOR3,AC110716.2,MAGEA8,,RP11-309L24.4
1165,OVAAL,IGFBP1,RCSD1,AC110741.1,MAGEA9,,RP11-546B8.6
1166,PABPC1,IGFBP3,RD3,AC110741.2,MAGEA9B,,RP11-561N12.2
1167,PACERR,IGFL1,RDH10,AC110741.3,MAGEC1,,RP11-638I8.1
1168,PAPPA2,IGFL2,RECQL4,AC110992.1,MAGEC2,,RP9
1169,PAQR6,IGFL3,REN,AC110998.1,MAGEC3,,RPA3
1170,PARP1,IGFL4,REXO1L1,AC111149.1,MAL2,,RPL26L1
1171,PAX8,IGFLR1,REXO1L10P,AC111149.2,MALSU1,,RPS14
1172,PAX8-AS1,IGLON5,REXO1L10P,AC112172.2,MAMLD1,,RPS23
1173,PBX1,IGSF23,REXO1L11P,AC112176.1,MAP10,,RSBN1L
1174,PBXIP1,IKZF1,RFWD2,AC112200.1,MAP1LC3C,,RSPH10B
1175,PCAT1,IL11,RFX5,AC112200.2,MAP3K21,,RSPH10B2
1176,PCAT2,IL12RB1,RGL1,AC112204.1,MAP4K5,,RUFY1
1177,PCAT6,IL27RA,RGS1,AC112204.2,MAP7D3,,RUNDC3B
1178,PCDH11Y,IL4I1,RGS13,AC112204.3,MAPK15,,S100Z
1179,PCNX2,IL6,RGS16,AC112491.1,MAPK1IP1L,,SAMD9
1180,PCP4L1,ILF3,RGS18,AC112504.1,MAPKAPK2,,SAMD9L
1181,PDC,ILVBL,RGS2,AC112504.2,MARC1,,SAP25
1182,PDE4DIP,IMMP2L,RGS20,AC112504.3,MARC2,,SAP30L
1183,PDE4DIPP1,IMPDH1,RGS21,AC112770.1,MARCH11,,SAR1B
1184,PDIA3P1,INAFM1,RGS22,AC112771.1,MARCH6,,SBDS
1185,PDZK1,ING3,RGS4,AC112907.1,MARK1,,SCAMP1
1186,PDZK1P1,INHBA,RGS5,AC112907.2,MATN2,,SCGB3A1
1187,PEA15,INMT,RGS7,AC112907.3,MBIP,,SCGB3A2
1188,PEAR1,INMT-MINDY4,RGS8,AC113143.1,MBNL3,,SCIN
1189,PEX11B,INSIG1,RGSL1,AC113347.1,MCF2,,SCRN1
1190,PEX19,INSL3,RHBG,AC113347.2,MCL1,,SDHAF3
1191,PFDN2,INSM1,RHOU,AC113347.3,MCMDC2,,SDK1
1192,PFKFB2,INSR,RHPN1,AC113347.4,MCTS1,,SEC24A
1193,PGAP3,INTS1,RIIAD1,AC113355.1,MDGA2,,SEC61G
1194,PGBD2,IQCA1L,RIMS2,AC113368.1,MDM2,,SEM1
1195,PGBD5,IQCE,RIPK2,AC113370.1,MDM4,,SEMA3A
1196,PGLYRP3,IQCN,RIT1,AC113386.1,MECP2,,SEMA3C
1197,PGLYRP4,IQUB,RMDN1,AC113430.1,MED10,,SEMA3D
1198,PHF20L1,IRF2BP1,RN7SKP12,AC114277.1,MED30,,SEMA3E
1199,PHLDA3,IRF3,RN7SKP126,AC114291.1,MEF2D,,SEMA6A
1200,PI15,IRF5,RN7SKP135,AC114291.2,MEOX2,,SEPT14
1201,PI4KB,IRGC,RN7SKP153,AC114300.1,METTL11B,,SEPT7
1202,PIAS3,IRGQ,RN7SKP155,AC114498.2,METTL13,,SEPT8
1203,PIGC,ISM1,RN7SKP156,AC114930.1,METTL18,,SERF1A
1204,PIGM,ISOC2,RN7SKP160,AC114947.1,MEX3A,,SERF1B
1205,PIGR,ISPD,RN7SKP165,AC114947.2,MFSD3,,SERINC5
1206,PIK3C2B,ISYNA1,RN7SKP195,AC114954.1,MFSD4A,,SERPINE1
1207,PIP5K1A,ITCH,RN7SKP206,AC114956.1,MGAT2,,SETD9
1208,PKHD1L1,ITGB8,RN7SKP226,AC114956.2,MGST3,,SFRP4
1209,PKP1,ITPA,RN7SKP229,AC114956.3,MIA2,,SFXN1
1210,PLA2G4A,ITPKC,RN7SKP231,AC114964.1,MIA3,,SGCD
1211,PLD5,ITPRID1,RN7SKP249,AC114964.2,MICALL2,,SGCE
1212,PLEKHA6,IZUMO1,RN7SKP276,AC114967.1,MID2,,SGTB
1213,PLEKHF2,IZUMO2,RN7SKP29,AC114977.1,MINDY1,,SH2B2
1214,PLEKHO1,IZUMO4,RN7SKP294,AC114977.2,MINDY4,,SH3PXD2B
1215,PLXNA2,JAG1,RN7SKP32,AC114981.1,MIOS,,SH3RF2
1216,PM20D1,JAK3,RN7SKP41,AC115837.1,MIPOL1,,SH3TC2
1217,PMF1,JAZF1,RN7SKP49,AC115837.2,MIS18BP1,,SHH
1218,PMF1-BGLAP,JOSD2,RN7SKP55,AC116350.1,MIXL1,,SHROOM1
1219,PMVK,JPH2,RN7SKP85,AC116351.1,MLLT11,,SIL1
1220,PNMT,JSRP1,RN7SKP88,AC116351.2,MMD2,,SIMC1
1221,POGK,JUNB,RN7SKP97,AC116359.1,MMGT1,,SKAP2
1222,POGZ,JUND,RN7SKP98,AC116361.1,MMP16,,SKIV2L2
1223,POLR2K,KANK2,RN7SL107P,AC116424.1,MNAT1,,SKP1
1224,POLR3C,KANK3,RN7SL135P,AC117382.1,MNDA,,SLC12A2
1225,POLR3GL,KAT14,RN7SL148P,AC117382.2,MORC4,,SLC12A7
1226,POP1,KBTBD2,RN7SL19P,AC117383.1,MORF4L2,,SLC12A9
1227,POU2F1,KCNA7,RN7SL228P,AC117383.2,MOS,,SLC13A1
1228,POU5F1B,KCNB1,RN7SL230P,AC117386.1,MOSPD1,,SLC13A4
1229,POU5F1P4,KCNC3,RN7SL250P,AC117386.2,MPC2,,SLC22A4
1230,PP2672,KCND2,RN7SL261P,AC117392.1,MPLKIP,,SLC22A5
1231,PPDPF,KCNG1,RN7SL269P,AC117394.1,MPP1,,SLC23A1
1232,PPFIA4,KCNH2,RN7SL276P,AC117394.2,MPP6,,SLC25A13
1233,PPIAL4C,KCNJ14,RN7SL299P,AC117395.1,MPZ,,SLC25A2
1234,PPIAL4G,KCNK15,RN7SL308P,AC117409.1,MPZL1,,SLC25A40
1235,PPIF,KCNK6,RN7SL323P,AC117434.1,MR1,,SLC25A46
1236,PPOX,KCNN1,RN7SL329P,AC117440.1,MRGBP,,SLC25A48
1237,PPP1R12B,KCNN4,RN7SL333P,AC117453.1,MRM2,,SLC26A2
1238,PPP1R15B,KCNQ2,RN7SL344P,AC117454.1,MROH1,,SLC26A3
1239,PPP1R1B,KCNS1,RN7SL350P,AC117457.1,MROH2B,,SLC26A4
1240,PPP2R5A,KCP,RN7SL372P,AC117465.1,MROH6,,SLC26A5
1241,PRCC,KCTD15,RN7SL374P,AC117469.1,MROH9,,SLC27A6
1242,PRDX6,KCTD7,RN7SL395P,AC117490.1,MRPL13,,SLC29A4
1243,PRELP,KDELR1,RN7SL396P,AC117490.2,MRPL15,,SLC30A5
1244,PREX2,KDELR2,RN7SL41P,AC117529.1,MRPL24,,SLC34A1
1245,PRG4,KDM4B,RN7SL425P,AC117529.2,MRPL32,,SLC35A4
1246,PRKAB2,KDM5D,RN7SL431P,AC117532.1,MRPL36,,SLC35B4
1247,PRKY,KDM7A,RN7SL444P,AC117834.1,MRPL55,,SLC36A1
1248,PRNCR1,KEAP1,RN7SL44P,AC117834.2,MRPL9,,SLC36A2
1249,PRORY,KEL,RN7SL464P,AC119744.1,MRPS14,,SLC36A3
1250,PROX1,KHSRP,RN7SL466P,AC120036.1,MRPS17,,SLC37A3
1251,PROX1-AS1,KIAA0355,RN7SL467P,AC120036.2,MRPS21,,SLC38A9
1252,PRPF3,KIAA0895,RN7SL473P,AC120036.3,MRPS24,,SLC4A2
1253,PRPF6,KIAA1147,RN7SL480P,AC120036.4,MRPS28,,SLC4A9
1254,PRR9,KIAA1324L,RN7SL512P,AC120036.5,MRPS30,,SLC6A18
1255,PRRC2C,KIAA1549,RN7SL563P,AC120042.1,MSC,,SLC6A19
1256,PRRX1,KIAA1755,RN7SL590P,AC120042.2,MSTO1,,SLC6A7
1257,PRSS38,KIF16B,RN7SL600P,AC120053.1,MT1HL1,,SLCO4C1
1258,PRUNE1,KIF3B,RN7SL612P,AC120194.1,MTBP,,SLCO6A1
1259,PRY,KIR2DL1,RN7SL615P,AC121333.1,MTCP1,,SLF1
1260,PRY2,KIR2DL3,RN7SL654P,AC122694.1,MTDH,,SLIT3
1261,PSD4,KIR2DL4,RN7SL668P,AC122710.1,MTERF3,,SLU7
1262,PSEN2,KIR3DL1,RN7SL675P,AC122710.2,MTFR1,,SMAD5
1263,PSMA7,KIR3DL2,RN7SL685P,AC122719.1,MTG2,,SMARCD3
1264,PSMB4,KIR3DL3,RN7SL777P,AC122719.2,MTM1,,SMIM15
1265,PSMD4,KIRREL2,RN7SL798P,AC122719.3,MTMR1,,SMIM23
1266,PTCSC1,KISS1R,RN7SL826P,AC124293.1,MTMR11,,SMIM3
1267,PTDSS1,KIT,RN7SL837P,AC124852.1,MTMR12,,SMKR1
1268,PTGS2,KIZ,RN7SL861P,AC124893.1,MTR,,SMN1
1269,PTK6,KLC3,RNA5S1,AC124944.1,MTRNR2L11,,SMN2
1270,PTPN14,KLF1,RNA5S10,AC124944.2,MTRR,,SMO
1271,PTPN7,KLF14,RNA5S11,AC124944.3,MTSS1,,SMURF1
1272,PTPRVP,KLF16,RNA5S12,AC125604.1,MTURN,,SNCAIP
1273,PVT1,KLF2,RNA5S13,AC125613.1,MTX1,,SNCB
1274,PYCR2,KLHDC10,RNA5S14,AC125618.1,MUC1,,SND1
1275,PYDC5,KLHL26,RNA5S15,AC126768.1,MUM1L1,,SNX10
1276,PYGO2,KLHL7,RNA5S16,AC126768.2,MXD3,,SNX13
1277,PYHIN1,KLK1,RNA5S17,AC126768.3,MYBL1,,SNX18
1278,QSOX1,KLK10,RNA5S2,AC128685.1,MYBPH,,SNX2
1279,RAB13,KLK11,RNA5S3,AC128709.1,MYC,,SNX24
1280,RAB25,KLK12,RNA5S4,AC128709.2,MYL7,,SNX8
1281,RAB29,KLK13,RNA5S5,AC128709.3,MYO10,,SOSTDC1
1282,RAB3GAP2,KLK14,RNA5S6,AC128713.1,MYO1G,,SOWAHA
1283,RAB4A,KLK15,RNA5S7,AC128714.1,MYOC,,SOX30
1284,RAB7B,KLK2,RNA5S8,AC128716.1,MYOG,,SP4
1285,RABGAP1L,KLK3,RNA5S9,AC130509.1,MYT1,,SP8
1286,RABIF,KLK4,RNA5SP18,AC130888.1,NAA10,,SPAM1
1287,RAD21,KLK5,RNA5SP19,AC131160.1,NAA30,,SPARC
1288,RAD21-AS1,KLK6,RNA5SP265,AC131210.1,NACAD,,SPATA24
1289,RAD54B,KLK7,RNA5SP266,AC131211.1,NADK2,,SPATA9
1290,RALGPS2,KLK8,RNA5SP267,AC131235.1,NAP1L3,,SPDL1
1291,RASAL2,KLK9,RNA5SP268,AC131235.2,NAPRT,,SPDYE1
1292,RASAL2-AS1,KLRG2,RNA5SP269,AC131235.3,NAV1,,SPDYE16
1293,RASSF5,KMT2B,RNA5SP270,AC131568.1,NAXE,,SPDYE2
1294,RBBP5,KMT2C,RNA5SP271,AC132008.1,NBN,,SPDYE2B
1295,RBBP8NL,KMT2E,RNA5SP272,AC132008.2,NBPF10,,SPDYE3
1296,RBKS,KMT5C,RNA5SP273,AC132219.1,NBPF11,,SPDYE5
1297,RBM12B,KPNA7,RNA5SP274,AC132219.2,NBPF12,,SPDYE6
1298,RBM12B-AS1,KPTN,RNA5SP275,AC133435.1,NBPF14,,SPINK1
1299,RBM34,KRBA1,RNA5SP276,AC133473.1,NBPF15,,SPINK13
1300,RBM8A,KRI1,RNA5SP277,AC133634.1,NBPF19,,SPINK14
1301,RBMY1A1,KRIT1,RNA5SP278,AC134026.1,NBPF20,,SPINK5
1302,RBMY1A3P,KRTDAP,RNA5SP57,AC134503.1,NBPF9,,SPINK6
1303,RBMY1B,KXD1,RNA5SP58,AC134682.1,NCALD,,SPINK7
1304,RBMY1D,L34079.1,RNA5SP59,AC135166.1,NCBP2L,,SPINK9
1305,RBMY1E,L3MBTL1,RNA5SP60,AC135893.1,NCF2,,SPOCK1
1306,RBMY1F,LAIR1,RNA5SP61,AC137695.1,NCOA2,,SPRY4
1307,RBMY1J,LAIR2,RNA5SP62,AC137695.2,NCSTN,,SPZ1
1308,RBMY2EP,LAMA5,RNA5SP63,AC137695.3,NDRG1,,SQSTM1
