,gene
1394,NBPF9
1395,NCF2
1396,NCSTN
1397,NDUFS2
1398,NEK2
1399,NEK7
1400,NENF
1401,NES
1402,NFASC
1403,NHLH1
1404,NID1
1405,NIT1
1406,NLRP3
1407,NME7
1408,NMNAT2
1409,NOS1AP
1410,NOV
1411,NPHS2
1412,NPL
1413,NPR1
1414,NR1I3
1415,NR5A2
1416,NSL1
1417,NTPCR
1418,NTRK1
1419,NUAK2
1420,NUCKS1
1421,NUDT17
1422,NUF2
1423,NUP133
1424,NUP210L
1425,NVL
1426,OAZ3
1427,OBSCN
1428,OCLM
1429,OLFML2B
1430,OPN3
1431,OPTC
1432,OR10J1
1433,OR10J3
1434,OR10J5
1435,OR10K1
1436,OR10K2
1437,OR10R2
1438,OR10T2
1439,OR10Z1
1440,OR11L1
1441,OR13G1
1442,OR14A16
1443,OR14A2
1444,OR14C36
1445,OR14I1
1446,OR14K1
1447,OR1C1
1448,OR2AJ1
1449,OR2AK2
1450,OR2B11
1451,OR2C3
1452,OR2G2
1453,OR2G3
1454,OR2G6
1455,OR2L13
1456,OR2L2
1457,OR2L3
1458,OR2L5
1459,OR2M2
1460,OR2M3
1461,OR2M4
1462,OR2M5
1463,OR2M7
1464,OR2T10
1465,OR2T12
1466,OR2T27
1467,OR2T29
1468,OR2T33
1469,OR2T34
1470,OR2T35
1471,OR2T8
1472,OR2W3
1473,OR6F1
1474,OR6K2
1475,OR6K3
1476,OR6K6
1477,OR6N1
1478,OR6N2
1479,OR6P1
1480,OR6Y1
1481,OTUD7B
1482,PAPPA2
1483,PAQR6
1484,PARP1
1485,PBX1
1486,PBXIP1
1487,PCP4L1
1488,PDC
1489,PDE4DIP
1490,PDZK1
1491,PEA15
1492,PEAR1
1493,PEX11B
1494,PEX19
1495,PFDN2
1496,PFKFB2
1497,PGBD2
1498,PGBD5
1499,PGLYRP3
1500,PGLYRP4
1501,PHLDA3
1502,PI4KB
1503,PIAS3
1504,PIGC
1505,PIGM
1506,PIGR
1507,PIP5K1A
1508,PKP1
1509,PLA2G4A
1510,PLD5
1511,PLEKHO1
1512,PLXNA2
1513,PM20D1
1514,PMF1
1515,PMVK
1516,POGK
1517,POGZ
1518,POLR3C
1519,POLR3GL
1520,POU2F1
1521,PPFIA4
1522,PPIAL4C
1523,PPIAL4G
1524,PPOX
1525,PPP1R12B
1526,PPP2R5A
1527,PRCC
1528,PRDX6
1529,PRELP
1530,PRG4
1531,PRKAB2
1532,PROX1
1533,PRPF3
1534,PRR9
1535,PRRC2C
1536,PRRX1
1537,PRSS38
1538,PSEN2
1539,PSMB4
1540,PSMD4
1541,PTGS2
1542,PTPN14
1543,PTPN7
1544,PYCR2
1545,PYCRL
1546,PYGO2
1547,PYHIN1
1548,QSOX1
1549,RAB13
1550,RAB25
1551,RAB3GAP2
1552,RAB4A
1553,RABGAP1L
